Day,name_area,fr,Subj,Virus,code_sig,log_fr
2,B,18.51714165,6,ChR2,-1,1.267573949
2,B,4.419494832,6,ChR2,-1,0.64537263
1,B,0.821328693,7,ChR2,1,-0.085483005
1,B,12.1502772,7,ChR2,1,1.084586186
1,B,1.678142101,7,ChR2,1,0.224828733
2,B,0.200461545,7,ChR2,-1,-0.697968926
2,B,2.16993935,7,ChR2,1,0.336447595
2,B,20.56715231,7,ChR2,1,1.313174164
2,B,5.943571061,7,ChR2,1,0.774047459
1,B,8.096454559,8,ChR2,1,0.908294883
1,B,0.112968997,8,ChR2,-1,-0.947040727
1,B,0.465257281,8,ChR2,-1,-0.332306821
1,B,1.12068333,8,ChR2,-1,0.049482912
1,B,1.882130396,8,ChR2,1,0.274649709
1,B,7.202223889,8,ChR2,-1,0.857466618
1,B,6.049888653,8,ChR2,-1,0.781747382
1,B,1.823973236,8,ChR2,1,0.261018461
1,B,3.294886189,8,ChR2,-1,0.517840418
2,B,0.4546989,8,ChR2,-1,-0.342276097
2,B,1.123326385,8,ChR2,-1,0.05050596
2,B,2.00829821,8,ChR2,-1,0.302828201
2,B,0.79317311,8,ChR2,-1,-0.100632017
1,B,7.606723708,9,ChR2,1,0.881197642
1,B,0.139275016,9,ChR2,1,-0.856126783
1,B,7.133618017,9,ChR2,1,0.853309851
1,B,11.0008478,9,ChR2,1,1.041426156
1,B,1.839020587,9,ChR2,-1,0.264586591
1,B,0.185163316,9,ChR2,-1,-0.73244505
1,B,1.586232408,9,ChR2,1,0.200366819
1,B,34.87483971,9,ChR2,1,1.54251222
1,B,3.361116716,9,ChR2,-1,0.526483594
1,B,1.829359893,9,ChR2,1,0.262299153
1,B,3.751569796,9,ChR2,1,0.574213031
1,B,0.32926868,9,ChR2,1,-0.482449578
1,B,0.52919139,9,ChR2,-1,-0.27638723
1,B,4.207232565,9,ChR2,1,0.623996519
1,B,6.816156854,9,ChR2,1,0.833539576
2,B,6.402913207,9,ChR2,1,0.806377615
2,B,24.43028688,9,ChR2,1,1.387928567
2,B,1.08416276,9,ChR2,-1,0.035094486
2,B,0.280847798,9,ChR2,-1,-0.551528977
2,B,0.301677054,9,ChR2,-1,-0.520457722
2,B,3.808282254,9,ChR2,-1,0.580729129
2,B,0.780055627,9,ChR2,-1,-0.107874426
2,B,2.355441667,9,ChR2,1,0.372072353
2,B,36.78342413,9,ChR2,1,1.565652155
2,B,7.534983256,9,ChR2,1,0.877082292
2,B,21.39720009,9,ChR2,1,1.330356948
2,B,6.56850579,9,ChR2,1,0.817466587
2,B,13.84381766,9,ChR2,1,1.14125587
1,B,5.258195188,10,ChR2,-1,0.720836703
1,B,1.020197945,10,ChR2,-1,0.008684444
1,B,7.747008741,10,ChR2,-1,0.889134046
1,B,3.451424081,10,ChR2,1,0.537998325
1,B,0.149017677,10,ChR2,1,-0.82676221
1,B,2.552405346,10,ChR2,1,0.406949646
1,B,10.6116416,10,ChR2,1,1.025782574
1,B,4.03903408,10,ChR2,1,0.606277518
1,B,1.052949083,10,ChR2,-1,0.022407371
2,B,4.061784141,10,ChR2,-1,0.60871684
2,B,2.598365232,10,ChR2,1,0.414700196
2,B,6.100642897,10,ChR2,-1,0.785375604
2,B,0.720882933,10,ChR2,-1,-0.142135257
2,B,4.218053748,10,ChR2,-1,0.625112109
2,B,0.521102964,10,ChR2,-1,-0.283076456
2,B,6.958185133,10,ChR2,-1,0.84249598
2,B,21.96231443,10,ChR2,-1,1.341678105
2,B,0.493934523,10,ChR2,-1,-0.306330618
2,B,0.670427256,10,ChR2,-1,-0.173648338
2,B,9.229303423,10,ChR2,-1,0.965168924
2,B,18.52663009,10,ChR2,1,1.26779643
1,B,3.573740827,11,ChR2,-1,0.553123054
1,B,2.24552659,11,ChR2,-1,0.351318202
1,B,14.84958872,11,ChR2,-1,1.171714425
1,B,13.49803477,11,ChR2,-1,1.130270542
1,B,1.534893585,11,ChR2,-1,0.186078271
1,B,9.009745499,11,ChR2,1,0.954712524
2,B,0.114630098,11,ChR2,1,-0.940701337
2,B,0.858750619,11,ChR2,1,-0.066132937
2,B,2.243629551,11,ChR2,-1,0.350951152
2,B,2.803128441,11,ChR2,-1,0.447642998
2,B,0.518977475,11,ChR2,-1,-0.284851491
2,B,1.016502436,11,ChR2,-1,0.007108424
2,B,0.673912295,11,ChR2,-1,-0.17139662
2,B,3.627858407,11,ChR2,-1,0.559650329
2,B,3.481374577,11,ChR2,-1,0.541750754
2,B,1.546314514,11,ChR2,-1,0.189297832
2,B,11.79368186,11,ChR2,-1,1.071649408
