AnimalID,Event,Sig,Window,AUC
5873,LickBoutNoReinf,Reference,Baseline,0.00368530119199863
5876,StimOn,Signal,Event,0.0378667608235961
5876,LickBoutPreReinf,Signal,Event,0.0517606679503524
5876,LickBoutNoReinf,Signal,Event,0.01916515883498
5876,StimOn,Signal,Baseline,-0.00113426148068711
5876,LickBoutPreReinf,Signal,Baseline,-0.00982006920052038
5876,LickBoutNoReinf,Signal,Baseline,-0.0084874074090655
5876,StimOn,Reference,Event,0.00283209587827508
5876,LickBoutPreReinf,Reference,Event,0.00220068147325458
5876,LickBoutNoReinf,Reference,Event,0.000303112862418246
5876,StimOn,Reference,Baseline,-2.71540292707899e-05
5876,LickBoutPreReinf,Reference,Baseline,-0.000213101884696581
5876,LickBoutNoReinf,Reference,Baseline,0.000243584461870937
4223,StimOn,Signal,Event,0.0113297532111678
4223,LickBoutPreReinf,Signal,Event,-0.00368162809049073
4223,LickBoutNoReinf,Signal,Event,-0.023767901905144
4223,StimOn,Signal,Baseline,0.0179854519048272
4223,LickBoutPreReinf,Signal,Baseline,0.00526304519365229
4223,LickBoutNoReinf,Signal,Baseline,0.00643918159780948
4223,StimOn,Reference,Event,0.00231287216714911
4223,LickBoutPreReinf,Reference,Event,0.00604629275992087
4223,LickBoutNoReinf,Reference,Event,-0.00128526446587633
4223,StimOn,Reference,Baseline,0.00223038254121997
4223,LickBoutPreReinf,Reference,Baseline,0.00230934012742296
4223,LickBoutNoReinf,Reference,Baseline,-0.00206616380330377
