AnimalID,Virus,Session,Laser,resp_rate_opto,med_rt_opto,resp_rate_opto_prev
5177,eYFP,3,LaserOn,0.224137931034483,1.925,0.155172413793103
5235,ChR2,1,LaserOff,0.866141732283465,0.8295,0.855263157894737
5235,ChR2,1,LaserOn,0.852941176470588,0.871,0.926470588235294
5235,ChR2,2,LaserOff,0.877149877149877,1.0235,0.886699507389163
5235,ChR2,2,LaserOn,0.823529411764706,0.872,0.764705882352941
5235,ChR2,3,LaserOff,0.962121212121212,0.834,0.964556962025316
5235,ChR2,3,LaserOn,0.983050847457627,0.9005,0.983050847457627
5237,ChR2,1,LaserOff,0.164556962025316,0.779,0.174683544303797
5237,ChR2,1,LaserOn,0.138461538461538,0.268,0.078125
5237,ChR2,2,LaserOff,0.373096446700508,0.6345,0.374045801526718
5237,ChR2,2,LaserOn,0.278688524590164,0.398,0.278688524590164
5237,ChR2,3,LaserOff,0.317733990147783,0.869,0.31358024691358
5237,ChR2,3,LaserOn,0.234042553191489,0.586,0.276595744680851
5534,ChR2,1,LaserOff,0.842377260981912,0.623,0.857512953367876
5534,ChR2,1,LaserOn,0.920634920634921,0.4405,0.841269841269841
5534,ChR2,2,LaserOff,0.535175879396985,0.671,0.54911838790932
5534,ChR2,2,LaserOn,0.76,0.534,0.66
5534,ChR2,3,LaserOff,0.298765432098765,0.8,0.294554455445545
5534,ChR2,3,LaserOn,0.345454545454545,0.762,0.381818181818182
5536,ChR2,1,LaserOff,0.960591133004926,0.396,0.967980295566502
5536,ChR2,1,LaserOn,1,0.179,0.962962962962963
5536,ChR2,2,LaserOff,0.918158567774936,0.508,0.925641025641026
5536,ChR2,2,LaserOn,0.96875,0.326,0.9375
5536,ChR2,3,LaserOff,0.873762376237624,0.4485,0.88833746898263
5536,ChR2,3,LaserOn,1,0.299,0.905660377358491
5542,ChR2,1,LaserOff,0.516539440203562,0.508,0.538265306122449
5542,ChR2,1,LaserOn,0.596774193548387,0.447,0.467741935483871
5542,ChR2,2,LaserOff,0.527777777777778,0.609,0.511392405063291
5542,ChR2,2,LaserOn,0.524590163934426,0.37,0.639344262295082
5542,ChR2,3,LaserOff,0.709046454767726,0.396,0.720588235294118
5542,ChR2,3,LaserOn,0.916666666666667,0.4025,0.833333333333333
4336,ChR2,1,LaserOff,0.2,0.737,0.192893401015228
4336,ChR2,1,LaserOn,0.181818181818182,0.628,0.227272727272727
4336,ChR2,2,LaserOff,0.114832535885167,1.095,0.117224880382775
4336,ChR2,2,LaserOn,0.06,0.728,0.0408163265306122
4336,ChR2,3,LaserOff,0.135678391959799,1.179,0.133501259445844
4336,ChR2,3,LaserOn,0.0757575757575758,1.56,0.0909090909090909
4337,eYFP,1,LaserOff,0.591623036649215,0.9225,0.611548556430446
4337,eYFP,1,LaserOn,0.650793650793651,0.879,0.53968253968254
4337,eYFP,2,LaserOff,0.404878048780488,0.796,0.39119804400978
4337,eYFP,2,LaserOn,0.283018867924528,0.941,0.39622641509434
4337,eYFP,3,LaserOff,0.370646766169154,0.881,0.366583541147132
4337,eYFP,3,LaserOn,0.214285714285714,1.807,0.261904761904762
4650,ChR2,1,LaserOff,0.328282828282828,1.069,0.367088607594937
4650,ChR2,1,LaserOn,0.524590163934426,0.7675,0.278688524590164
4650,ChR2,2,LaserOff,0.0980861244019139,0.962,0.103117505995204
4650,ChR2,2,LaserOn,0.227272727272727,0.651,0.181818181818182
4650,ChR2,3,LaserOff,0.0823244552058111,1.0965,0.128640776699029
4650,ChR2,3,LaserOn,0.76,0.719,0.38
4853,eYFP,1,LaserOff,0.18407960199005,0.785,0.179551122194514
4853,eYFP,1,LaserOn,0.11864406779661,0.512,0.152542372881356
4853,eYFP,2,LaserOff,0.0729166666666667,1.628,0.0704960835509138
4853,eYFP,2,LaserOn,0.0133333333333333,0.16,0.0266666666666667
4853,eYFP,3,LaserOff,0.100250626566416,0.955,0.105527638190955
4853,eYFP,3,LaserOn,0.0754716981132075,1.27,0.0377358490566038
5706,ChR2,1,LaserOff,0.813299232736573,0.535,0.80306905370844
5706,ChR2,1,LaserOn,0.774193548387097,0.333,0.852459016393443
5706,ChR2,2,LaserOff,0.702020202020202,0.662,0.706329113924051
5706,ChR2,2,LaserOn,0.771929824561403,0.3835,0.754385964912281
5706,ChR2,3,LaserOff,0.8775,0.5705,0.897243107769424
5706,ChR2,3,LaserOn,1,0.337,0.872727272727273
5548,ChR2,1,LaserOff,0.723618090452261,0.425,0.732997481108312
5548,ChR2,1,LaserOn,0.761904761904762,0.2785,0.714285714285714
5548,ChR2,2,LaserOff,0.895522388059702,0.539,0.895261845386534
5548,ChR2,2,LaserOn,0.94,0.363,0.96
5548,ChR2,3,LaserOff,0.723039215686274,0.613,0.746928746928747
5548,ChR2,3,LaserOn,0.942307692307692,0.425,0.769230769230769
5549,ChR2,1,LaserOff,0.963917525773196,0.5175,0.958656330749354
5549,ChR2,1,LaserOn,0.955882352941177,0.367,1
5549,ChR2,2,LaserOff,0.87468671679198,0.773,0.894472361809045
5549,ChR2,2,LaserOn,0.958333333333333,0.583,0.8125
5549,ChR2,3,LaserOff,0.894736842105263,0.737,0.906474820143885
5549,ChR2,3,LaserOn,0.938775510204082,0.5615,0.857142857142857
5550,eYFP,1,LaserOff,0.652061855670103,0.615,0.671834625322997
5550,eYFP,1,LaserOn,0.608108108108108,0.229,0.513513513513513
5550,eYFP,2,LaserOff,0.80306905370844,0.706,0.805128205128205
5550,eYFP,2,LaserOn,0.833333333333333,1.2715,0.833333333333333
5550,eYFP,3,LaserOff,0.766331658291457,0.6395,0.750629722921914
5550,eYFP,3,LaserOn,0.727272727272727,0.36,0.854545454545454
5551,eYFP,1,LaserOff,0.762402088772846,0.929,0.74934725848564
5551,eYFP,1,LaserOn,0.698412698412698,0.8405,0.790322580645161
5551,eYFP,2,LaserOff,0.616707616707617,1.069,0.633004926108374
5551,eYFP,2,LaserOn,0.660377358490566,1.332,0.547169811320755
5551,eYFP,3,LaserOff,0.701711491442543,0.7645,0.709046454767726
5551,eYFP,3,LaserOn,0.739130434782609,0.6815,0.688888888888889
5552,eYFP,1,LaserOff,0.297229219143577,1.005,0.312342569269521
5552,eYFP,1,LaserOn,0.321428571428571,0.9995,0.218181818181818
5552,eYFP,2,LaserOff,0.230576441102757,0.958,0.233668341708543
5552,eYFP,2,LaserOn,0.216666666666667,1.055,0.2
5552,eYFP,3,LaserOff,0.0374064837905237,0.745,0.035
5552,eYFP,3,LaserOn,0.0350877192982456,1.541,0.0526315789473684
