AnimalID,Virus,Session,Event,Pupil
4337,eYFP,Unreinforced,ReinfGoNoopto,2.33188961043275
4337,eYFP,Reinforced,ReinfGoNoopto,2.3572293320707
4650,ChR2,Unreinforced,Opto_on,2.9334575685871
4650,ChR2,Reinforced,Opto_on,3.92917394215312
4650,ChR2,Unreinforced,ReinfGoNoopto,2.75164909308914
4650,ChR2,Reinforced,ReinfGoNoopto,3.76613893689683
4853,eYFP,Unreinforced,Opto_on,0.065156747765711
4853,eYFP,Reinforced,Opto_on,-0.522812962402266
4853,eYFP,Unreinforced,ReinfGoNoopto,2.16379672595718
4853,eYFP,Reinforced,ReinfGoNoopto,2.50175166627396
5706,ChR2,Unreinforced,Opto_on,0.496834513693874
5706,ChR2,Reinforced,Opto_on,2.13708031336461
5706,ChR2,Unreinforced,ReinfGoNoopto,0.737338322743433
5706,ChR2,Reinforced,ReinfGoNoopto,0.549887704378081
5548,ChR2,Unreinforced,Opto_on,2.36745047873784
5548,ChR2,Reinforced,Opto_on,7.4649906251707
5548,ChR2,Unreinforced,ReinfGoNoopto,8.51776703767587
5548,ChR2,Reinforced,ReinfGoNoopto,6.35643028590698
5549,ChR2,Unreinforced,Opto_on,-1.03987202884738
5549,ChR2,Reinforced,Opto_on,4.77752059773206
5549,ChR2,Unreinforced,ReinfGoNoopto,3.00321018821219
5549,ChR2,Reinforced,ReinfGoNoopto,1.45867827082765
5550,eYFP,Unreinforced,Opto_on,-1.06528565160201
5550,eYFP,Reinforced,Opto_on,-0.54766986871279
5550,eYFP,Unreinforced,ReinfGoNoopto,NaN
5550,eYFP,Reinforced,ReinfGoNoopto,1.30711089848246
5551,eYFP,Unreinforced,Opto_on,1.58294884836091
5551,eYFP,Reinforced,Opto_on,1.67143505324919
5551,eYFP,Unreinforced,ReinfGoNoopto,6.75414412265763
5551,eYFP,Reinforced,ReinfGoNoopto,3.74476379591481
5552,eYFP,Unreinforced,Opto_on,0.00908272386856565
5552,eYFP,Reinforced,Opto_on,-0.244456579702055
5552,eYFP,Unreinforced,ReinfGoNoopto,5.68268201613287
5552,eYFP,Reinforced,ReinfGoNoopto,3.74624152372433
