AnimalID,Virus,Session,Event,Pupil
3498,ChR2,Unreinforced,Opto_on,-0.533276755283468
3498,ChR2,Reinforced,Opto_on,5.68839088831639
3498,ChR2,Unreinforced,ReinfGoNoopto,4.7362463068442
3498,ChR2,Reinforced,ReinfGoNoopto,2.87966779442229
3620,ChR2,Unreinforced,Opto_on,5.24129270435746
3620,ChR2,Reinforced,Opto_on,4.95642985271424
3620,ChR2,Unreinforced,ReinfGoNoopto,3.68368086107458
3620,ChR2,Reinforced,ReinfGoNoopto,NaN
3504,eYFP,Unreinforced,Opto_on,-0.378396142346945
3504,eYFP,Reinforced,Opto_on,0.784581338885435
3504,eYFP,Unreinforced,ReinfGoNoopto,3.57708957984307
3504,eYFP,Reinforced,ReinfGoNoopto,4.52932843660237
4648,ChR2,Unreinforced,Opto_on,2.6677843062175
4648,ChR2,Reinforced,Opto_on,3.19882427261244
4648,ChR2,Unreinforced,ReinfGoNoopto,1.02850021591413
4648,ChR2,Reinforced,ReinfGoNoopto,0.56353417400339
4770,ChR2,Unreinforced,Opto_on,1.14606210191671
4770,ChR2,Reinforced,Opto_on,1.54203849231331
4770,ChR2,Unreinforced,ReinfGoNoopto,0.457175374116834
4770,ChR2,Reinforced,ReinfGoNoopto,1.77755463302014
4774,ChR2,Unreinforced,Opto_on,0.70708196700551
4774,ChR2,Reinforced,Opto_on,2.62906633845168
4774,ChR2,Unreinforced,ReinfGoNoopto,0.49608122537527
4774,ChR2,Reinforced,ReinfGoNoopto,1.55703507981533
4775,eYFP,Unreinforced,Opto_on,0.349168456457033
4775,eYFP,Reinforced,Opto_on,-0.977906867784808
4775,eYFP,Unreinforced,ReinfGoNoopto,-0.153173757654682
4775,eYFP,Reinforced,ReinfGoNoopto,0.653554013465675
4776,ChR2,Unreinforced,Opto_on,2.84798889557353
4776,ChR2,Reinforced,Opto_on,3.36475416820617
4776,ChR2,Unreinforced,ReinfGoNoopto,1.25450270562483
4776,ChR2,Reinforced,ReinfGoNoopto,2.96393275180788
4777,eYFP,Unreinforced,Opto_on,-0.0499275604873568
4777,eYFP,Reinforced,Opto_on,-0.803766656344704
4777,eYFP,Unreinforced,ReinfGoNoopto,-0.391556375193796
4777,eYFP,Reinforced,ReinfGoNoopto,-0.234391528193365
5710,eYFP,Unreinforced,Opto_on,-0.773363635587783
