AnimalID,Virus,DiffSessionPhotostimUnreinf,DiffSessionPhotostimReinf
4645,ChR2,1.13956004327443,5.15890483317193
4646,ChR2,3.15789473684211,17.1352502662407
4649,eYFP,4.83354673495518,-2.10837022981235
4770,ChR2,-16.8213783403657,10.4232804232804
4774,ChR2,-7.39582029783507,14.2701048951049
4775,eYFP,-7.60800305849369,2.02145214521454
4776,ChR2,-8.9326363713009,22.4047235641439
4777,eYFP,-6.22473393284383,-5.10801080108011
5710,eYFP,10.1340033500837,0.458822978603866
5177,eYFP,-5.3391959798995,0.358851674641148
5235,ChR2,-9.7827868852459,0.698806532663326
5237,ChR2,15.6425327277585,24.4269700518655
5534,ChR2,-4.22747461928934,2.22933962661722
5536,ChR2,3.18593092901747,7.67152448010481
5542,ChR2,6.38035767384564,22.5809163514082
