AnimalID,Window,PU1,PR1,PR2,PU2
3498,No Photostim,36.8909512761021,41.9512195121951,41.3366336633663,18.5750636132316
3620,No Photostim,18.9376443418014,34.5,37.037037037037,19.4444444444444
3621,No Photostim,4.11899313501144,23.3250620347395,21.8225419664269,34.1836734693878
3498,Photostim,28.5714285714286,63.265306122449,92.4528301886792,38.0952380952381
3620,Photostim,0,96.3636363636364,100,40.9836065573771
3621,Photostim,8.33333333333333,52,83.3333333333333,59.7014925373134
